objectid,census_tract,num_props,min_period,max_period,principal,interest,penalty,other,balance,avg_balance
100,42101009400,336,1978,2025,869726.84,301407.38,38516.78,295842.95,1505493.95,4480.64
101,42101009500,363,1983,2025,1016732.03,310394.62,45429.84,327004.11,1699560.6,4681.99
102,42101009600,419,1988,2025,1429872.17,379740.83,61323.6,397161.58,2268098.18,5413.12
103,42101009801,31,2003,2025,142956.96,12077.91,4615.1,20095.68,179745.65,5798.25
104,42101009802,80,1997,2025,377894.2,54175.15,9495.03,54196.18,495760.56,6197.01
105,42101010000,142,1997,2025,685948.24,93824.7,21709.47,96797.57,898279.98,6325.92
106,42101010100,446,1982,2025,2134392.27,605979.44,91136.91,485589.19,3317097.81,7437.44
107,42101010200,253,1978,2025,778588.78,407986.47,37589.41,289450.68,1513615.34,5982.67
108,42101010300,264,1992,2025,877145.09,315698.69,44053.06,283634.28,1520531.12,5759.59
109,42101010400,377,1986,2025,1185392.48,534848.77,59093.69,466842.66,2246177.6,5958.03
110,42101010500,236,1978,2025,778931.22,193914.98,34675.49,223293.93,1230815.62,5215.32
111,42101010600,228,1978,2025,1143987.01,358590.85,56622.68,217630.24,1776830.78,7793.12
112,42101010700,373,1978,2025,1170429.52,268465.83,48880.84,315527.14,1803303.33,4834.59
113,42101010800,414,1986,2025,1647559.2,422038.74,70743.16,394261.74,2534602.84,6122.23
114,42101010900,112,1978,2025,520613.35,72155.19,16083.74,64146.81,672999.09,6008.92
115,42101011000,373,1983,2025,1373341.97,354333.24,66698.51,380682.3,2175056.02,5831.25
116,42101011100,568,1978,2025,2062412.09,640914.08,98203.26,546301.8,3347831.23,5894.07
117,42101011200,493,1981,2025,1601726.9,494614.39,65077.32,446743.63,2608162.24,5290.39
118,42101011300,250,1991,2025,942974.78,194692.83,29796.59,213585.86,1381050.06,5524.2
119,42101011400,347,1987,2025,1956822.41,250550.83,53691.68,296759.54,2557824.46,7371.25
120,42101011500,108,1997,2025,458934.9,83072.19,17902.25,103144.88,663054.22,6139.39
121,42101011700,52,1986,2025,454749.17,134681.21,8991.98,43507.28,641929.64,12344.8
122,42101011800,295,1990,2025,1448333.03,267599.02,41089.08,239169.29,1996190.42,6766.75
123,42101011900,297,1994,2025,1531748.24,315816.97,51830.6,268499.44,2167895.25,7299.31
124,42101012000,48,1987,2025,637190.31,229347.58,25366.78,96298.87,988203.54,20587.57
125,42101012100,47,1980,2025,199135.48,31422.35,5214.4,24745.58,260517.81,5542.93
126,42101012204,82,2001,2025,238678.07,81476.7,10804.14,39667.45,370626.36,4519.83
127,42101012501,7,2019,2025,563861.1,52719.91,26270,13257.75,656108.76,93729.82
128,42101012502,23,2018,2025,224674.04,28440.54,8198.57,10913.24,272226.39,11835.93
129,42101013100,33,1980,2025,644241.19,72895.31,21596.6,47584.8,786317.9,23827.82
130,42101013200,128,1978,2025,482106.57,116956.91,17148.88,68833.56,685045.92,5351.92
131,42101013300,76,1978,2025,826088.54,129579.57,26796.18,60526.13,1042990.42,13723.56
132,42101013401,41,2010,2025,316277.67,27793.38,8868.13,26058.71,378997.89,9243.85
133,42101013402,36,2002,2025,280349.47,30882.72,9047.1,17796.94,338076.23,9391.01
134,42101013500,98,1985,2025,864357.46,106691.21,21524.29,80775.76,1073348.72,10952.54
135,42101013601,39,2014,2025,247701.95,10871.36,6103.81,17987.44,282664.56,7247.81
136,42101013602,41,1992,2025,408156.06,51606.43,14082.98,29928.37,504698.03,12309.71
137,42101013701,88,1989,2025,319179.11,39431.63,8499.99,51172.59,418283.42,4753.22
138,42101013702,268,1990,2025,994798.85,124049.05,30615.24,191868.68,1341331.82,5004.97
139,42101013800,171,1978,2025,724498.03,152090.34,25041.06,142132.86,1043762.29,6103.87
140,42101013900,100,1978,2025,656303.78,82557.48,24648.19,82734.03,846243.48,8462.43
141,42101014000,203,1978,2025,1951949.36,259070.74,67871.64,207809.33,2486701.07,12249.76
142,42101014100,99,1978,2025,1036971.13,123888.02,31966.5,62053.75,1254879.4,12675.55
143,42101014201,89,1980,2025,507313.89,38683.96,11326.39,39125.07,596449.31,6701.68
144,42101014202,103,1997,2025,1189367.11,154000.42,41968.15,119871.47,1505207.15,14613.66
145,42101014300,70,1978,2025,656814.99,79291.05,19702.32,74224.88,830033.24,11857.62
146,42101014400,242,1978,2025,1878138.94,225050.66,60425.34,233064.37,2396679.31,9903.63
147,42101014500,88,1978,2025,310270.61,66478.94,12535.36,74457.69,467040.63,5307.28
148,42101014600,88,1993,2025,1033319.18,104819,23140.96,98268.98,1259548.12,14313.05
149,42101014700,126,1978,2025,1783515.73,395920.18,89985.7,206576.65,2475998.26,19650.78
150,42101014800,100,1978,2025,485902.03,131564.81,21942.96,107526.48,746936.28,7469.36
151,42101014900,495,1978,2025,1645190.83,398600.12,68044.15,468935.05,2580770.15,5213.68
152,42101015101,221,1978,2025,614731.35,133405.74,26738.7,209852.29,984728.08,4455.78
153,42101015102,555,1978,2025,1470979.48,489792.91,69286.48,592856.55,2622915.9,4725.97
154,42101015200,530,1978,2025,1904927.01,535542.77,80089.92,674119.39,3194679.09,6027.7
155,42101015300,176,1979,2025,1026086.52,144480.18,41092.29,152404.36,1364063.35,7750.36
156,42101015600,282,1978,2025,1392056.64,272257.01,50420.78,356524.71,2071259.14,7344.89
157,42101015700,251,1979,2025,1364162.68,142600.01,51418.44,158001.95,1716183.08,6837.38
158,42101015800,210,1985,2025,1323686.76,134237.51,35738.38,137105.1,1631223.96,7767.73
159,42101016001,132,2000,2025,848102.59,74113.9,27199.76,74220.72,1023636.97,7754.83
160,42101016002,159,1998,2025,923985.87,128298.16,31089.69,104374.03,1187747.75,7470.11
161,42101016100,377,1978,2025,1657648.5,248900.77,56355.43,304667.86,2267572.56,6014.78
162,42101016200,349,1978,2025,1091862.76,287685.88,44937.61,442879.76,1867366.01,5350.62
163,42101016300,508,1978,2025,1390422.25,242581.35,56258.54,444638.84,2133900.98,4200.59
164,42101016400,534,1978,2025,1178720.14,383348.29,56869.7,513239.72,2132177.85,3992.84
165,42101016500,455,1978,2025,1366533.43,501168.52,67779.7,595073.54,2530555.19,5561.66
166,42101016600,181,1978,2025,583512.86,149202.97,26003.49,182681.57,941400.89,5201.11
167,42101016701,529,1978,2025,1417440.48,820796.47,75746.88,775284.39,3089268.22,5839.83
168,42101016702,531,1978,2025,1628668.36,699644.87,80491.89,697745.1,3106550.22,5850.38
169,42101016800,746,1978,2025,2153240.68,1132538.19,108563.72,1074267.23,4468609.82,5990.09
170,42101016901,840,1978,2025,2475035.17,1441165.62,134959.56,1298159.09,5349319.44,6368.24
171,42101016902,1015,1978,2025,2745522.35,1503990.95,146146.4,1382619.93,5778523.35,5693.13
172,42101017000,175,1984,2025,1035249.77,151352.52,35227.89,126237.37,1348067.55,7703.24
173,42101017100,452,1978,2025,1914450.46,671482.71,87831.63,507765.22,3181532.78,7038.79
174,42101017201,480,1978,2025,1332044.77,791388.96,67411.17,551839.31,2742684.21,5713.93
175,42101017202,623,1978,2025,1653314.83,956992.46,86719.75,706174.2,3403201.24,5462.6
176,42101017300,482,1981,2025,1846257.82,768893.58,90917.44,507986.57,3214055.41,6668.16
177,42101017400,489,1978,2025,1574952.65,734140.88,78036.17,773460.92,3160590.62,6463.38
178,42101017500,946,1978,2025,1924241.6,836846.43,98016.39,1010501.25,3869605.67,4090.49
179,42101017601,864,1978,2025,1533310.22,515327.97,75183.08,786918.44,2910739.71,3368.91
180,42101017602,408,1980,2025,905916.82,306763.45,45800.45,327801.86,1586282.58,3887.95
181,42101017701,346,1980,2025,800966.46,291979.85,38298.05,307594.18,1438838.54,4158.49
182,42101017702,626,1978,2025,1485938.01,549583.81,71038.58,589551.08,2696111.48,4306.89
183,42101017800,660,1978,2025,1848911.89,485706.89,82102.47,564009.62,2980730.87,4516.26
184,42101017900,401,1978,2025,1355009.96,253888.08,52384.99,354151.47,2015434.5,5026.02
185,42101018001,115,1997,2025,469236.58,44489.18,13735.19,73840.49,601301.44,5228.71
186,42101018002,169,1987,2025,914565.27,118931.98,29688.23,128967.74,1192153.22,7054.16
187,42101018300,117,1998,2025,801665.68,79037.06,18548.77,98581.03,997832.54,8528.48
188,42101018400,74,1997,2025,407116.96,49792.23,12525.85,47219.55,516654.59,6981.82
189,42101018801,265,1989,2025,751953.74,150990.74,34664.25,196845.79,1135048.34,4283.2
190,42101018802,177,1993,2025,558383.25,98029.83,22963.49,129429.45,808806.02,4569.53
191,42101019000,169,1978,2025,718728.36,116814.89,24070.44,128183.78,987797.47,5844.96
192,42101019100,214,1984,2025,864560.48,198688.86,31701.71,172067.89,1267018.94,5920.65
193,42101019200,568,1978,2025,1689457.7,664590.75,81282.42,537778.43,2973109.3,5234.35
194,42101019501,407,1978,2025,806832.05,292570.37,42244.37,378398.07,1520044.86,3734.75
195,42101019502,361,1978,2025,804090.68,267101.55,39900.67,287171.42,1398264.32,3873.31
196,42101019700,419,1987,2025,935503.17,236823.95,46410.66,297363.78,1516101.56,3618.38
197,42101019800,495,1978,2025,1567252.02,628020.97,74252.78,470394.15,2739919.92,5535.19
198,42101019900,508,1977,2025,1451005.24,586344.35,73950.83,584127.52,2695427.94,5305.96
199,42101020000,154,1978,2025,552030.07,223540.01,31698.81,177941.65,985210.54,6397.47
200,42101020101,437,1978,2025,1473518.66,451816.12,66702.92,440347.36,2432385.06,5566.1
201,42101020102,377,1982,2025,1437522.31,459553.39,66419.3,381769.81,2345264.81,6220.86
202,42101020200,689,1978,2025,3086541.5,1240958.73,158944.96,922138.16,5408583.35,7849.9
203,42101020300,464,1978,2025,1905344.87,648649.56,95933.35,552428.24,3202356.02,6901.63
204,42101020400,385,1980,2025,1330267.35,737718.8,65693.65,467220.6,2600900.4,6755.59
205,42101020500,362,1984,2025,1240898.73,514244.33,63831.93,442698.59,2261673.58,6247.72
206,42101020600,8,1984,2025,71747.83,33365.98,2691.87,17730.79,125536.47,15692.06
207,42101020701,80,1978,2025,433250.92,67398.86,16770.91,76879.21,594299.9,7428.75
208,42101020702,17,2012,2025,169869.69,2621.1,1290.31,5979.59,179760.69,10574.16
209,42101020800,21,2001,2025,93298.41,10651.62,3841.63,14394.79,122186.45,5818.4
210,42101020900,45,2000,2025,390665.34,57191.84,14334.2,48086.48,510277.86,11339.51
211,42101021000,100,1978,2025,706095.81,163145.16,28085.99,138236.23,1035563.19,10355.63
212,42101021100,35,2001,2025,232528.78,23893.73,5663.18,32444.11,294529.8,8415.14
213,42101021200,46,1993,2025,178257.58,21558.92,4579.57,35078.45,239474.52,5205.97
214,42101021300,56,1997,2025,387117.64,36101.99,10119.11,43916.92,477255.66,8522.42
215,42101021400,119,1979,2025,646646.01,127378.35,24755.36,112916.16,911695.88,7661.31
216,42101021500,118,1978,2025,547572.05,117425.2,22025.54,115179.02,802201.81,6798.32
217,42101021600,34,1978,2025,401146.23,220750.3,19087.68,61108.09,702092.3,20649.77
218,42101021700,56,1985,2025,500981.33,77908.89,12690.36,52363.77,643944.35,11499.01
219,42101021800,34,1979,2025,291501.02,81045.83,11671.26,44491.01,428709.12,12609.09
220,42101021900,29,1997,2025,162958.39,15043.11,2102.84,20147.57,200251.91,6905.24
221,42101022000,16,2004,2025,170778.94,29334.54,4046.41,13865.01,218024.9,13626.56
222,42101023100,11,2017,2025,139446.12,31767.83,6904.61,11084.53,189203.09,17200.28
223,42101023500,25,1984,2025,267447.95,13509.21,3023.99,21875.21,305856.36,12234.25
224,42101023600,36,2004,2025,476354.08,68172.26,13573.66,26728.96,584828.96,16245.25
225,42101023700,104,1991,2025,1060695.87,113164,18538.86,81749.41,1274148.14,12251.42
