"SERVICE REQUEST TYPE","SERVICE REQUEST NUMBER","DATE SERVICE REQUEST WAS RECEIVED","LOCATION OF BUILDING ON THE LOT (IF GARAGE, CHANGE TYPE CODE TO BGD).","IS THE BUILDING DANGEROUS OR HAZARDOUS?","IS BUILDING OPEN OR BOARDED?","IF THE BUILDING IS OPEN, WHERE IS THE ENTRY POINT?","IS THE BUILDING CURRENTLY VACANT OR OCCUPIED?","IS THE BUILDING VACANT DUE TO FIRE?","ANY PEOPLE USING PROPERTY? (HOMELESS, CHILDEN, GANGS)","ADDRESS STREET NUMBER","ADDRESS STREET DIRECTION","ADDRESS STREET NAME","ADDRESS STREET SUFFIX","ZIP CODE","X COORDINATE","Y COORDINATE","Ward","Police District","Community Area","LATITUDE","LONGITUDE","Location"
"Vacant/Abandoned Building","14-00220609","02/17/2014","Front",,"Open","NONE","Vacant","false","false","2106","E","73RD","ST","60649","1191549.59989004","1856977.90231408","5","3","43","41.76254524358","-87.57349829933","(41.762545243582, -87.573498299329)"
"Vacant/Abandoned Building","14-00218830","02/17/2014","Front",,"Open","REAR","Vacant","false","true","6635","S","BISHOP","ST","60636","1167808.06797324","1860742.97641895","17","7","67","41.77341963008","-87.66040628238","(41.773419630082, -87.660406282376)"
"Vacant/Abandoned Building","14-00220532","02/17/2014","Front",,"Open","FRONT AND REAR","Vacant","false","true","1235","W","71ST","ST","60636","1169159.10010304","1857696.90678979","17","7","67","41.76503171389","-87.65554170334","(41.765031713888, -87.655541703342)"
"Vacant/Abandoned Building","14-00218683","02/17/2014","Front",,"Open",,"Vacant","false","false","6837","S","WOOD","ST","60636","1165527.47420936","1859345.79708162","17","7","67","41.76963424827","-87.66880600691","(41.769634248274, -87.668806006911)"
"Vacant/Abandoned Building","14-00216683","02/16/2014","Front",,"Open","FRONT/REAR","Vacant","false","false","6949","S","LOWE","AVE","60621","1173166.79001133","1858808.19102809","6","7","68","41.76799361194","-87.6408195863","(41.76799361194, -87.640819586302)"
"Vacant/Abandoned Building","14-00217294","02/16/2014","Rear",,"Open","WINDOWS AND ALL DOORS ARE OPEN","Vacant","false","true","6418","S","ARTESIAN","AVE","60629","1161143.72529335","1862029.60632884","15","8","66","41.7770908199","-87.68480077276","(41.777090819902, -87.684800772762)"
"Vacant/Abandoned Building","14-00215212","02/15/2014","Front",,"Open","FRONT/ REAR","Vacant","false","false","7019","S","CARPENTER","ST","60621","1170526.15058781","1858272.52627723","17","7","68","41.76658161645","-87.65051431875","(41.766581616452, -87.650514318752)"
"Vacant/Abandoned Building","14-00210109","02/14/2014","Front",,"Open",,"Vacant","false","false","10525","S","CORLISS","AVE","60628","1183443.26458123","1835234.30011718","9","5","50","41.70307098714","-87.60388426254","(41.703070987142, -87.603884262536)"
"Vacant/Abandoned Building","14-00210135","02/14/2014","Front",,"Open",,"Vacant","false","false","10436","S","MARYLAND","AVE","60628","1183750.89996672","1835935.81007693","9","5","50","41.70498886334","-87.60273599231","(41.704988863342, -87.602735992314)"
"Vacant/Abandoned Building","14-00210078","02/14/2014","Front",,"Open",,"Vacant","false","false","10726","S","LANGLEY","AVE","60628","1182816.7307266","1833914.87996655","9","5","50","41.69946486643","-87.60621925199","(41.699464866432, -87.606219251994)"
"Vacant/Abandoned Building","14-00210137","02/14/2014","Front",,"Open",,"Vacant","false","false","10442","S","MARYLAND","AVE","60628","1183752.19996672","1835895.51007693","9","5","50","41.70487824479","-87.60273248391","(41.70487824479, -87.602732483909)"
"Vacant/Abandoned Building","14-00212332","02/14/2014","Rear",,"Open",,"Vacant","false","true","5917","S","MICHIGAN","AVE","60637","1178169.49080062","1865813.1444736","20","2","40","41.78710393371","-87.6222701809","(41.787103933712, -87.622270180904)"
"Vacant/Abandoned Building","14-00210144","02/14/2014","Front",,"Open",,"Vacant","false","false","10536","S","MARYLAND","AVE","60628","1183770.26487305","1835271.88011116","9","5","50","41.70316650461","-87.60268570821","(41.703166504606, -87.602685708206)"
"Vacant/Abandoned Building","14-00210131","02/14/2014","Front",,"Open",,"Vacant","false","false","10434","S","MARYLAND","AVE","60628","1183750.39996672","1835949.21007693","9","5","50","41.70502564627","-87.60273740694","(41.705025646273, -87.602737406942)"
"Vacant/Abandoned Building","14-00210097","02/14/2014","Front",,"Open",,"Vacant","false","false","10723","S","COTTAGE GROVE","AVE","60628","1182249.48456678","1833977.26681035","9","5","50","41.69964918698","-87.60829431749","(41.699649186984, -87.608294317488)"
"Vacant/Abandoned Building","14-00210099","02/14/2014","Front",,"Open",,"Vacant","false","false","10741","S","COTTAGE GROVE","AVE","60628","1182230.18456678","1833853.56681035","9","5","50","41.69931018365","-87.60836879779","(41.699310183654, -87.608368797795)"
"Vacant/Abandoned Building","14-00211669","02/14/2014","Front",,"Open","FRONT","Vacant","true","false","1700","W","48TH","ST","60609","1165819.07327955","1872876.82762638","20","9","61","41.80675888966","-87.66735293734","(41.806758889663, -87.667352937341)"
"Vacant/Abandoned Building","14-00210113","02/14/2014","Front",,"Open",,"Vacant","false","false","10527","S","CORLISS","AVE","60628","1183443.96458123","1835212.80011718","9","5","50","41.70301197212","-87.60388236616","(41.703011972123, -87.603882366162)"
"Vacant/Abandoned Building","14-00210074","02/14/2014","Front",,"Open",,"Vacant","false","false","10626","S","LANGLEY","AVE","60628","1182794.6225195","1834643.57952967","9","5","50","41.70146502532","-87.60627767731","(41.70146502532, -87.606277677307)"
"Vacant/Abandoned Building","14-00210114","02/14/2014","Front",,"Open",,"Vacant","false","false","10543","S","CORLISS","AVE","60628","1183446.96458123","1835115.20011718","9","5","50","41.70274407551","-87.60387440813","(41.702744075508, -87.603874408131)"
"Vacant/Abandoned Building","14-00210120","02/14/2014","Front",,"Open",,"Vacant","false","false","10410","S","MARYLAND","AVE","60628","1183745.09996672","1836110.61007693","9","5","50","41.70546867161","-87.60275180064","(41.705468671611, -87.60275180064)"
"Vacant/Abandoned Building","14-00210123","02/14/2014","Front",,"Open",,"Vacant","false","false","10430","S","MARYLAND","AVE","60628","1183749.59996672","1835976.11007693","9","5","50","41.70509948189","-87.60273950073","(41.705099481892, -87.602739500727)"
"Vacant/Abandoned Building","14-00213363","02/14/2014","Front",,"Open","?","Vacant","true","false","1118","S","FRANCISCO","AVE","60612","1157193.42420904","1895119.38608422","28","11","29","41.86797414307","-87.69838614345","(41.867974143068, -87.698386143446)"
"Vacant/Abandoned Building","14-00210436","02/14/2014","Front",,"Open","REAR","Vacant","false","false","11222","S","INDIANA","AVE","60628","1179569.01492234","1830593.68011248","9","5","49","41.69042565361","-87.61821184205","(41.69042565361, -87.618211842045)"
"Vacant/Abandoned Building","14-00210589","02/14/2014",,,,,,,,"6129","S","BISHOP","ST","60636","1167715.85150979","1864098.0913085","16","7","67","41.78262846518","-87.6606481177","(41.782628465183, -87.660648117704)"
"Vacant/Abandoned Building","14-00211704","02/14/2014","Front",,"Open","REAR","Vacant","true","false","13346","S","RIVERDALE","AVE","60827","1182373.89233395","1816952.45628344","9","5","54","41.65292779357","-87.6083632833","(41.652927793565, -87.608363283304)"
"Vacant/Abandoned Building","14-00210108","02/14/2014","Front",,"Open",,"Vacant","false","false","10757","S","COTTAGE GROVE","AVE","60628","1182213.08402331","1833743.69008343","9","5","50","41.69900906234","-87.60843479798","(41.699009062344, -87.608434797979)"
"Vacant/Abandoned Building","14-00210125","02/14/2014","Front",,"Open",,"Vacant","false","false","10432","S","MARYLAND","AVE","60628","1183749.99996672","1835962.71007693","9","5","50","41.70506270129","-87.60273845228","(41.705062701289, -87.602738452281)"
"Vacant/Abandoned Building","14-00210089","02/14/2014","Front",,"Open",,"Vacant","false","false","10617","S","CHAMPLAIN","AVE","60628","1182485.80993143","1834696.83401542","9","5","50","41.70161831109","-87.60740679492","(41.701618311089, -87.607406794922)"
"Vacant/Abandoned Building","14-00210093","02/14/2014","Front",,"Open",,"Vacant","false","false","10747","S","CHAMPLAIN","AVE","60628","1182513.21868268","1833821.68163103","9","5","50","41.69921614411","-87.60733344668","(41.699216144111, -87.607333446679)"
"Vacant/Abandoned Building","14-00210142","02/14/2014","Front",,"Open",,"Vacant","false","false","10512","S","MARYLAND","AVE","60628","1183766.66487305","1835432.18011116","9","5","50","41.70360647197","-87.6026939105","(41.703606471969, -87.602693910497)"
"Vacant/Abandoned Building","14-00212933","02/14/2014",,,,,,,,"9616","S","PRAIRIE","AVE","60628","1179614.76980134","1841267.4432338","6","5","49","41.71971486174","-87.61771960844","(41.71971486174, -87.617719608444)"
"Vacant/Abandoned Building","14-00210119","02/14/2014","Front",,"Open",,"Vacant","false","false","10408","S","MARYLAND","AVE","60628","1183744.69996672","1836124.01007693","9","5","50","41.70550545221","-87.6027528491","(41.705505452211, -87.602752849097)"
"Vacant/Abandoned Building","14-00205068","02/13/2014","Front",,"Open",,"Vacant","false","false","707","N","CENTRAL PARK","AVE","60624","1152256.0540212","1904478.68338651","27","11","23","41.89375583035","-87.71626520176","(41.893755830354, -87.716265201763)"
"Vacant/Abandoned Building","14-00208070","02/13/2014","Front",,"Open",,"Vacant","false","true","9648","S","MERRION","AVE","60617","1192702.50341333","1841450.73149693","7","4","51","41.71990929609","-87.56977775573","(41.71990929609, -87.56977775573)"
"Vacant/Abandoned Building","14-00204498","02/13/2014","Front",,"Open",,"Vacant","false","false","2819","N","LONG","AVE","60641","1139886.94506869","1918306.53012181","31","25","19","41.93193612871","-87.76135465445","(41.931936128709, -87.761354654449)"
"Vacant/Abandoned Building","14-00209311","02/13/2014","Front",,"Open","FRONT","Vacant","false","true","5903","S","MICHIGAN","AVE","60637","1178166.89080062","1865907.7444736","20","2","40","41.78736358444","-87.62227684531","(41.787363584444, -87.622276845314)"
"Vacant/Abandoned Building","14-00203887","02/13/2014","Front",,"Boarded",,"Vacant","false","false","6552","S","WINCHESTER","AVE","60636","1164483.82448735","1861208.82302715","15","7","67","41.77476870631","-87.6725791077","(41.774768706313, -87.6725791077)"
"Vacant/Abandoned Building","14-00204152","02/13/2014","Front",,"Open","WINDOW","Vacant","false","false","7939","S","INGLESIDE","AVE","60619","1183939.59776817","1852560.96308579","8","6","44","41.75060579493","-87.60152744019","(41.750605794935, -87.601527440195)"
"Vacant/Abandoned Building","14-00205075","02/13/2014","Front",,"Open",,"Vacant","false","false","709","N","CENTRAL PARK","AVE","60624","1152255.7540212","1904492.18338651","27","11","23","41.89379288162","-87.71626594699","(41.893792881622, -87.716265946987)"
"Vacant/Abandoned Building","14-00204159","02/13/2014","Front",,"Boarded",,"Vacant","false","false","7953","S","INGLESIDE","AVE","60619","1183942.34177443","1852466.69416577","8","6","44","41.7503470472","-87.60152032315","(41.7503470472, -87.601520323151)"
"Vacant/Abandoned Building","14-00204506","02/13/2014","Front",,"Open",,"Vacant","false","false","1641","S","AVERS","AVE","60623","1151001.04431006","1891494.91802727","24","10","29","41.85815161504","-87.72121454059","(41.858151615041, -87.721214540589)"
"Vacant/Abandoned Building","14-00204169","02/13/2014","Front",,"Boarded",,"Vacant","false","false","7829","S","DREXEL","AVE","60619","1183589.59533435","1853286.01110487","8","6","69","41.75260356391","-87.6027874399","(41.752603563913, -87.6027874399)"
"Vacant/Abandoned Building","14-00208520","02/13/2014","Front",,"Open","BASEMENT DOOR","Vacant","false","false","321","N","SACRAMENTO","BLVD","60612","1156327.65603343","1902073.12157888","27","12","27","41.88707341603","-87.7013765822","(41.887073416025, -87.701376582196)"
"Vacant/Abandoned Building","14-00203849","02/13/2014","Rear",,"Open",,"Vacant","false","true","701","N","LOTUS","AVE","60644","1139790.30369485","1904106.12907368","37","15","25","41.89297038443","-87.76205738459","(41.892970384427, -87.762057384593)"
"Vacant/Abandoned Building","14-00206058","02/13/2014","Front",,"Open","OPEN","Vacant","false","false","1119","N","PARKSIDE","AVE","60651","1138476.73610458","1906896.13941331","29","15","25","41.90065041528","-87.76681403004","(41.900650415279, -87.766814030036)"
"Vacant/Abandoned Building","14-00208530","02/13/2014","Front",,"Open","BACK DOOR, BASEMENT DOOR","Vacant","false","true","8847","S","LOWE","AVE","60620","1173519.66107238","1846240.31192106","21","22","71","41.73349796015","-87.63989743197","(41.733497960145, -87.639897431966)"
"Vacant/Abandoned Building","14-00201648","02/12/2014","Front",,"Open","BROKEN 1ST FLOOR FRONT WINDOW ON SAFE PASSAGE  ROUTE","Vacant","false","false","1947","W","71ST","ST","60636","1164508.62397455","1857582.56016883","17","7","67","41.76481722556","-87.67259032066","(41.764817225565, -87.672590320662)"
"Vacant/Abandoned Building","14-00200422","02/12/2014","Front",,"Boarded",,"Vacant","false","true","4110","W","CONGRESS","PKWY","60624","1149072.08006636","1897374.89557798","24","11","26","41.87432449286","-87.72814294864","(41.874324492864, -87.728142948638)"
"Vacant/Abandoned Building","14-00202747","02/12/2014","Front",,"Open","FRONT & REAR DOORS ARE OPEN","Vacant","false","true","4946","W","WASHINGTON","BLVD","60644","1143397.28537871","1900048.46957949","28","15","25","41.8817690175","-87.7489116387","(41.881769017498, -87.748911638701)"
"Vacant/Abandoned Building","14-00201693","02/12/2014","Front",,"Open","WINDOW FIRST FLOOR FRONT","Vacant","false","false","1945","W","71ST","ST","60636","1164518.52397455","1857582.76016883","17","7","67","41.7648175657","-87.67255402863","(41.764817565701, -87.672554028631)"
"Vacant/Abandoned Building","14-00203283","02/12/2014","Front",,"Open","FRONT AND REAR DOORS, ALL WINDOWS","Vacant","false","true","1715","W","ROSCOE","ST","60657","1164227.2923848","1922623.11757769","32","19","6","41.94330065379","-87.6717848165","(41.943300653791, -87.671784816501)"
"Vacant/Abandoned Building","14-00201256","02/12/2014","Front",,"Open","OPEN ALL AROUND .. A HAZARD .. ONLY 1 WINDOW COVERED .. BECAUSE OF BROKEN GLASS..","Vacant","false","false","13401","S","AVENUE N",,"60633","1201424.19246737","1816717.9751165","10","4","55","41.65182357441","-87.53866897513","(41.651823574408, -87.538668975128)"
"Vacant/Abandoned Building","14-00196974","02/11/2014","Front",,"Open","FRONT","Vacant","false","false","6324","S","BISHOP","ST","60636","1167750.21241027","1862807.26988871","16","7","67","41.77908555365","-87.6605591675","(41.779085553648, -87.660559167495)"
"Vacant/Abandoned Building","14-00198189","02/11/2014","Front",,"Boarded","FRONT DOOR","Vacant","false","true","6317","S","WOLCOTT","AVE","60636","1164769.78059888","1862768.37731751","15","7","67","41.77904229509","-87.67148683264","(41.77904229509, -87.671486832638)"
"Vacant/Abandoned Building","14-00199305","02/11/2014","Front",,"Open","REAR DOOR PLATE KICKED OUT AND SIDE DOOR ALSO OPEN","Vacant","false","false","5356","S","WELLS","ST","60609","1175515.16502771","1869435.53491501","3","9","37","41.79710396872","-87.63189397689","(41.797103968723, -87.631893976888)"
"Vacant/Abandoned Building","14-00195095","02/11/2014","Front",,"Open","ALL ENTRIES OPEN","Vacant","true","false","9233","S","GREENWOOD","AVE","60619","1185159.57060683","1843979.30147264","8","4","47","41.72702823963","-87.59732588396","(41.727028239634, -87.597325883963)"
"Vacant/Abandoned Building","14-00196984","02/11/2014","Front",,"Open",,"Vacant","false","false","8516","S","ESCANABA","AVE","60617","1196963.64730575","1849063.38581092","10","4","46","41.74069428627","-87.55391820023","(41.74069428627, -87.553918200231)"
"Vacant/Abandoned Building","14-00197767","02/11/2014","Front",,"Open",,"Vacant","false","false","1332","S","HEATH","AVE","60608","1161025.58987642","1893860.02430431","25","12","28","41.86443969055","-87.68435248367","(41.864439690549, -87.684352483675)"
"Vacant/Abandoned Building","14-00197624","02/11/2014","Front",,"Open","1ST FLOOR FRONT","Vacant","false","false","6746","S","SANGAMON","ST","60621","1171139.74642935","1860097.13798892","17","7","68","41.77157518564","-87.64821198578","(41.771575185643, -87.648211985785)"
"Vacant/Abandoned Building","14-00192701","02/10/2014","Front",,"Open",,"Vacant","true","false","2521","W","45TH","PL","60632","1160280.93601683","1874422.03063072","12","9","58","41.81111508615","-87.68762252452","(41.811115086153, -87.687622524523)"
"Vacant/Abandoned Building","14-00193434","02/10/2014","Front",,"Open",,"Vacant","false","false","6721","S","PEORIA","ST","60621","1171465.26189264","1860273.95558024","17","7","68","41.77205327246","-87.64701358491","(41.772053272465, -87.647013584911)"
"Vacant/Abandoned Building","14-00194417","02/10/2014","Front",,"Open","FRONT AND REAR","Vacant","false","true","245","E","134TH","ST","60827","1180399.61996852","1816534.68120854","9","5","54","41.6518266878","-87.61559967053","(41.651826687799, -87.615599670527)"
"Vacant/Abandoned Building","14-00194150","02/10/2014",,,,,,,,"8740","S","ASHLAND","AVE","60620","1167197.22153222","1846757.83330955","21","22","71","41.73505556321","-87.66304492341","(41.735055563212, -87.663044923414)"
"Vacant/Abandoned Building","14-00193662","02/10/2014","Front",,"Open","REAR BSMNT WINDOWS","Vacant","false","false","1740","W","65TH","ST","60636","1165747.12858572","1861588.11907119","15","7","67","41.77578281561","-87.66793725727","(41.775782815614, -87.667937257274)"
"Vacant/Abandoned Building","14-00193781","02/10/2014","Rear",,"Boarded",,"Vacant","false","false","5514","S","PRINCETON","AVE","60621","1175227.5217111","1868279.55389395","3","7","68","41.79393827608","-87.63298333009","(41.793938276084, -87.632983330093)"
"Vacant/Abandoned Building","14-00191100","02/10/2014",,,,,,,,"1323","S","MICHIGAN","AVE","60605","1177433.29421818","1894338.43440413","2","1","33","41.86539632226","-87.62410606075","(41.865396322262, -87.624106060747)"
"Vacant/Abandoned Building","14-00192600","02/10/2014","Front",,"Open","FRONT & REAR","Vacant","false","true","2123","W","POTOMAC","AVE","60622","1162011.49513009","1908630.69816931","32","14","24","41.90495116861","-87.68032063247","(41.904951168607, -87.680320632471)"
"Vacant/Abandoned Building","14-00193948","02/10/2014","Front",,"Open","POLICE LOCKS HAVE BEEN RMVD SVL TIMES - FRONT AND SIDE DOORS NEED TO BE SECURED","Vacant","false","true","11701","S","THROOP","ST","60643","1169767.10370641","1827175.84042598","34","5","53","41.6812642329","-87.65419572934","(41.681264232903, -87.654195729336)"
"Vacant/Abandoned Building","14-00193410","02/10/2014","Front",,"Open","SIDE AND FRONT","Vacant","false","true","6547","S","MARSHFIELD","AVE","60636","1166451.38851012","1861290.88727744","15","7","67","41.77495219109","-87.66536396547","(41.774952191085, -87.665363965467)"
"Vacant/Abandoned Building","14-00194666","02/10/2014","Rear",,"Open","REAR","Vacant","false","true","23","W","112TH","ST","60628","1178079.35649592","1830705.12193195","34","5","49","41.69076527307","-87.62366216263","(41.690765273067, -87.623662162632)"
"Vacant/Abandoned Building","14-00186863","02/08/2014","Front",,"Open","FRONT","Vacant","false","true","2819","W","22ND","PL","60623","1157880.44060109","1888930.7506253","12","10","30","41.85097790201","-87.69603261364","(41.850977902012, -87.696032613635)"
"Vacant/Abandoned Building","14-00186111","02/08/2014","Front",,"Open","IN THE REAR","Vacant","false","false","1850","N","CALIFORNIA","AVE","60647","1157420.21200007","1911895.12997718","35","14","22","41.91400370806","-87.69709689877","(41.914003708056, -87.697096898775)"
"Vacant/Abandoned Building","14-00185989","02/08/2014","Front",,"Open","FRONT DOOR","Vacant","false","false","8439","S","COLFAX","AVE","60617","1194966.57071215","1849518.684387","7","4","46","41.74199306461","-87.56122018197","(41.741993064608, -87.561220181966)"
"Vacant/Abandoned Building","14-00180778","02/07/2014","Front",,"Open",,"Vacant","false","false","10740","S","LANGLEY","AVE","60628","1182820.8307266","1833827.87996655","9","5","50","41.69922603205","-87.60620692915","(41.699226032046, -87.606206929149)"
"Vacant/Abandoned Building","14-00180563","02/07/2014","Front",,"Open",,"Vacant","false","false","2112","W","GARFIELD","BLVD","60609","1163209.90989449","1868165.95439675","16","9","61","41.79388675306","-87.67705444125","(41.793886753057, -87.677054441254)"
"Vacant/Abandoned Building","14-00182200","02/07/2014","Front",,"Open",,"Vacant","false","false","5049","N","OAKLEY","AVE","60625","1160102.74902498","1933538.16641677","47","20","4","41.97333847744","-87.68664183605","(41.973338477438, -87.686641836053)"
"Vacant/Abandoned Building","14-00183112","02/07/2014","Front",,"Open",,"Vacant","false","true","217","N","KOSTNER","AVE","60624","1147023.4111114","1900801.80897495","28","11","26","41.88376773471","-87.73557717998","(41.883767734712, -87.735577179983)"
"Vacant/Abandoned Building","14-00184805","02/07/2014","Front",,"Open",,"Vacant","false","true","3636","W","OAKDALE","AVE","60618","1151609.60997253","1919412.86001936","35","25","21","41.9347493047","-87.71824603425","(41.934749304697, -87.718246034254)"
"Vacant/Abandoned Building","14-00184671","02/07/2014","Rear",,"Boarded","FRONT DOOR , LOCK KICKED OFF, OPEN","Vacant","false","false","6321","S","WOLCOTT","AVE","60636","1164770.48059888","1862741.97731751","15","7","67","41.77896983525","-87.67148501128","(41.778969835252, -87.671485011282)"
"Vacant/Abandoned Building","14-00182286","02/07/2014","Front",,"Open",,"Vacant","false","true","4502","S","WELLS","ST","60609","1175370.23246965","1875036.79491002","3","9","37","41.81247760864","-87.63225791309","(41.812477608638, -87.632257913085)"
"Vacant/Abandoned Building","14-00181522","02/07/2014","Front",,"Open","FRONT-REAR","Vacant","false","true","3843","W","FLOURNOY","ST","60624","1150894.45999254","1896754.99010655","24","11","26","41.87258794818","-87.72146816154","(41.872587948177, -87.721468161543)"
"Vacant/Abandoned Building","14-00174872","02/06/2014","Front",,"Open",,"Vacant","false","false","3122","W","TAYLOR","ST","60612","1155699.57919753","1895539.12108095","24","11","27","41.86915612966","-87.70385904909","(41.869156129663, -87.703859049087)"
"Vacant/Abandoned Building","14-00174516","02/06/2014","Rear",,"Open","REAR","Vacant","false","true","2929","W","HARRISON","ST","60612","1156935.81211653","1897227.81097253","2","11","27","41.87376510063","-87.69927471281","(41.87376510063, -87.699274712812)"
"Vacant/Abandoned Building","14-00176286","02/06/2014",,,,,,,,"8338","S","BUFFALO","AVE","60617","1199590.07877577","1850311.31066613","10","4","46","41.74405300188","-87.54425350444","(41.744053001879, -87.544253504436)"
"Vacant/Abandoned Building","14-00178240","02/06/2014","Front",,"Open","FRONT","Vacant","false","false","6353","S","WOLCOTT","AVE","60636","1164775.96618864","1862530.63197044","15","7","67","41.77838976008","-87.67147086408","(41.778389760078, -87.671470864081)"
"Vacant/Abandoned Building","14-00177986","02/06/2014","Front",,"Open",,"Vacant","false","true","1142","S","FRANCISCO","AVE","60612","1157197.72420904","1894958.28608422","28","11","29","41.86753198081","-87.6983747319","(41.867531980814, -87.698374731902)"
"Vacant/Abandoned Building","14-00174867","02/06/2014","Front",,"Boarded",,"Vacant","false","false","1338","S","SPRINGFIELD","AVE","60623","1150593.18011069","1893504.573621","24","10","29","41.86367431834","-87.72265919916","(41.863674318339, -87.72265919916)"
"Vacant/Abandoned Building","14-00176587","02/06/2014","Front",,"Open","FRONT","Vacant","false","false","7239","S","WINCHESTER","AVE","60636","1164608.49750027","1856659.48489662","17","7","67","41.76228207317","-87.67225025718","(41.76228207317, -87.672250257185)"
"Vacant/Abandoned Building","14-00178738","02/06/2014","Front",,"Open","??","Vacant","false","false","806","E","81ST","ST","60619","1183031.43602243","1851468.78347335","8","6","44","41.74762988617","-87.60488921975","(41.747629886165, -87.604889219748)"
"Vacant/Abandoned Building","14-00175769","02/06/2014",,,,,,,,"1119","S","TROY","ST","60612","1155530.47990594","1895076.14377992","24","11","29","41.867889072","-87.70449230949","(41.867889071998, -87.704492309487)"
"Vacant/Abandoned Building","14-00177974","02/06/2014","Front",,"Open",,"Vacant","false","true","525","N","ST LOUIS","AVE","60624","1152954.13639948","1903344.98743344","27","11","23","41.89063105072","-87.71373143177","(41.89063105072, -87.713731431766)"
"Vacant/Abandoned Building","14-00176701","02/06/2014","Rear",,"Open",,"Vacant","false","true","2810","S","KILDARE","AVE","60623","1148179.11828234","1884965.79509049","22","10","30","41.8402895991","-87.73174075735","(41.840289599103, -87.731740757354)"
"Vacant/Abandoned Building","14-00173120","02/05/2014","Front",,"Open","FRONT AND BACK","Vacant","false","false","7115","S","FAIRFIELD","AVE","60629","1159270.41993","1857348.27110782","18","8","66","41.76428311563","-87.69179633094","(41.764283115634, -87.691796330938)"
"Vacant/Abandoned Building","14-00172904","02/05/2014","Front",,"Open","FRONT DOOR","Vacant","false","false","6533","S","WOOD","ST","60636","1165464.19612553","1861360.26142371","15","7","67","41.77516354699","-87.66898091633","(41.775163546987, -87.668980916331)"
"Vacant/Abandoned Building","14-00169247","02/05/2014","Front",,"Open","ALL OVER","Vacant","false","false","6633","S","WOOD","ST","60636","1165484.2459183","1860697.83250064","15","7","67","41.77334532974","-87.66892617702","(41.773345329737, -87.668926177025)"
"Vacant/Abandoned Building","14-00164444","02/04/2014",,,,,,,,"5005","W","HURON","ST","60644","1142864.1488835","1904180.92122795","28","15","25","41.89311890746","-87.75076631019","(41.893118907456, -87.75076631019)"
"Vacant/Abandoned Building","14-00162617","02/04/2014","Front",,"Open","FRONT","Vacant","false","false","6325","S","WOLCOTT","AVE","60636","1164771.18059888","1862715.57731751","15","7","67","41.77889737541","-87.67148318993","(41.778897375412, -87.671483189929)"
"Vacant/Abandoned Building","14-00166561","02/04/2014",,,,,,,,"7413","S","CHAPPEL","AVE","60649","1191165.84741738","1856158.12931731","5","3","43","41.76030501275","-87.57493127459","(41.760305012752, -87.574931274595)"
"Vacant/Abandoned Building","14-00164612","02/04/2014","Front",,"Open",,"Vacant","false","true","3701","W","DIVERSEY","AVE","60647","1151227.31153045","1918364.4557017","35","25","22","41.93187991454","-87.71967857385","(41.93187991454, -87.719678573845)"
"Vacant/Abandoned Building","14-00166593","02/04/2014",,,,,,,,"11432","S","FOREST","AVE","60628","1180290.11818898","1829080.53852742","9","5","49","41.68625692032","-87.61561801962","(41.686256920317, -87.615618019617)"
"Vacant/Abandoned Building","14-00166640","02/04/2014",,,,,,,,"9518","S","GENOA","AVE","60643","1170952.07607499","1841664.52172052","21","22","73","41.72099771832","-87.64943694479","(41.720997718318, -87.649436944787)"
"Vacant/Abandoned Building","14-00165375","02/04/2014",,,,,,,,"6715","S","HALSTED","ST","60621","1172125.89241802","1860331.58071419","6","7","68","41.77219691042","-87.64459023037","(41.772196910421, -87.644590230365)"
"Vacant/Abandoned Building","14-00163895","02/04/2014",,,,,,,,"5806","S","PAULINA","ST","60636","1166004.44442691","1866165.52526923","15","7","67","41.7883383315","-87.66686389844","(41.788338331503, -87.666863898436)"
"Vacant/Abandoned Building","14-00167294","02/04/2014","Front",,"Boarded",,"Vacant","false","false","2129","W","71ST","ST","60636","1163270.30999833","1857556.14691507","17","7","67","41.76477075715","-87.67712984572","(41.764770757147, -87.677129845721)"
"Vacant/Abandoned Building","14-00166680","02/04/2014","Front",,"Open",,"Vacant","false","false","10753","S","INDIANA","AVE","60628","1179486.598625","1833672.6291","9","5","49","41.69887659994","-87.61842001128","(41.698876599937, -87.618420011278)"
"Vacant/Abandoned Building","14-00165212","02/04/2014","Front",,"Open",,"Vacant","false","false","3221","S","KARLOV","AVE","60623","1149556.68953202","1882922.31479838","22","10","30","41.83465543034","-87.72673852951","(41.834655430343, -87.726738529511)"
"Vacant/Abandoned Building","14-00163788","02/04/2014",,,,,,,,"1728","N","TRIPP","AVE","60639","1147785.53772874","1911153.84352295","30","25","23","41.91216021502","-87.73251234009","(41.912160215021, -87.73251234009)"
"Vacant/Abandoned Building","14-00168041","02/04/2014","Front",,"Open","REAR DOOR ND BROKEN WINDOWS","Vacant","false","true","5842","W","PATTERSON","AVE","60634","1136765.54927616","1923675.10283372","38","16","15","41.94672462969","-87.77269648072","(41.94672462969, -87.772696480722)"
"Vacant/Abandoned Building","14-00166591","02/04/2014",,,,,,,,"12455","S","EGGLESTON","AVE","60628","1175556.2652159","1822318.12757174","34","5","53","41.66780671689","-87.63314886525","(41.667806716893, -87.63314886525)"
